,Nama,Waktu,Ulasan,Label,Cleaning,CaseFolding,slangword,Tokenizing,Stopword_Removal,Stemming,Full_Text_Stemmed
194,Kresna Mahessatama,3 tahun lalu,rumah makan bebek khas madura harganya pas di kantong,positif,rumah makan bebek khas madura harganya pas di kantong,rumah makan bebek khas madura harganya pas di kantong,rumah makan bebek khas madura harganya pas di kantong,"['rumah', 'makan', 'bebek', 'khas', 'madura', 'harganya', 'pas', 'di', 'kantong']","['rumah', 'makan', 'bebek', 'khas', 'madura', 'harganya', 'pas', 'kantong']","['rumah', 'makan', 'bebek', 'kha', 'madura', 'harganya', 'pa', 'kantong']",rumah makan bebek kha madura harganya pa kantong
195,Joemillaa,4 tahun lalu,"Tempatnya nyaman ,buat acara khusus seperti reuni atau apa ,terdapat deck diatas  , recommend deh buat klo ada acara reunian bisa sewa tempat disini sekaligus makanan disini tidak hanya ada bebek goreng sambel pencit nya saja, menu nya banyak ,nasi goreng ikan bakar ,dan minuman nya juga banyak banget pilihannya",positif,Tempatnya nyaman buat acara khusus seperti reuni atau apa terdapat deck diatas recommend deh buat klo ada acara reunian bisa sewa tempat disini sekaligus makanan disini tidak hanya ada bebek goreng sambel pencit nya saja menu nya banyak nasi goreng ikan bakar dan minuman nya juga banyak banget pilihannya,tempatnya nyaman buat acara khusus seperti reuni atau apa terdapat deck diatas recommend deh buat klo ada acara reunian bisa sewa tempat disini sekaligus makanan disini tidak hanya ada bebek goreng sambel pencit nya saja menu nya banyak nasi goreng ikan bakar dan minuman nya juga banyak banget pilihannya,tempatnya nyaman buat acara khusus seperti reuni atau apa terdapat deck diatas recommend deh buat klo ada acara reunian bisa sewa tempat disini sekaligus makanan disini tidak hanya ada bebek goreng sambel pencit nya saja menu nya banyak nasi goreng ikan bakar dan minuman nya juga banyak banget pilihannya,"['tempatnya', 'nyaman', 'buat', 'acara', 'khusus', 'seperti', 'reuni', 'atau', 'apa', 'terdapat', 'deck', 'diatas', 'recommend', 'deh', 'buat', 'klo', 'ada', 'acara', 'reunian', 'bisa', 'sewa', 'tempat', 'disini', 'sekaligus', 'makanan', 'disini', 'tidak', 'hanya', 'ada', 'bebek', 'goreng', 'sambel', 'pencit', 'nya', 'saja', 'menu', 'nya', 'banyak', 'nasi', 'goreng', 'ikan', 'bakar', 'dan', 'minuman', 'nya', 'juga', 'banyak', 'banget', 'pilihannya']","['tempatnya', 'nyaman', 'reuni', 'deck', 'diatas', 'recommend', 'deh', 'klo', 'reunian', 'sewa', 'makanan', 'bebek', 'goreng', 'sambel', 'pencit', 'nya', 'menu', 'nya', 'nasi', 'goreng', 'ikan', 'bakar', 'minuman', 'nya', 'banget', 'pilihannya']","['tempatnya', 'nyaman', 'reuni', 'deck', 'diata', 'recommend', 'deh', 'klo', 'reunian', 'sewa', 'makanan', 'bebek', 'goreng', 'sambel', 'pencit', 'nya', 'menu', 'nya', 'nasi', 'goreng', 'ikan', 'bakar', 'minuman', 'nya', 'banget', 'pilihannya']",tempatnya nyaman reuni deck diata recommend deh klo reunian sewa makanan bebek goreng sambel pencit nya menu nya nasi goreng ikan bakar minuman nya banget pilihannya
196,IMAM HABIBI,2 bulan lalu,"cukup mengganjal perut,",netral,cukup mengganjal perut ,cukup mengganjal perut ,cukup mengganjal perut,"['cukup', 'mengganjal', 'perut']","['mengganjal', 'perut']","['mengganj', 'perut']",mengganj perut
197,A.E Pramudita,3 tahun lalu,"Warung bebek madura dengan lokasi yang strategis dekat jembatan suramadu, arah ke pamekasan madura, dengan menu makanan yg tidak hanya bebek dan ayam banyak makanan lainnya. Dengan rasa yang khas bebek madura dengan sambal mangga muda",positif,Warung bebek madura dengan lokasi yang strategis dekat jembatan suramadu arah ke pamekasan madura dengan menu makanan yg tidak hanya bebek dan ayam banyak makanan lainnya Dengan rasa yang khas bebek madura dengan sambal mangga muda,warung bebek madura dengan lokasi yang strategis dekat jembatan suramadu arah ke pamekasan madura dengan menu makanan yg tidak hanya bebek dan ayam banyak makanan lainnya dengan rasa yang khas bebek madura dengan sambal mangga muda,warung bebek madura dengan lokasi yang strategis dekat jembatan suramadu arah ke pamekasan madura dengan menu makanan yg tidak hanya bebek dan ayam banyak makanan lainnya dengan rasa yang khas bebek madura dengan sambal mangga muda,"['warung', 'bebek', 'madura', 'dengan', 'lokasi', 'yang', 'strategis', 'dekat', 'jembatan', 'suramadu', 'arah', 'ke', 'pamekasan', 'madura', 'dengan', 'menu', 'makanan', 'yg', 'tidak', 'hanya', 'bebek', 'dan', 'ayam', 'banyak', 'makanan', 'lainnya', 'dengan', 'rasa', 'yang', 'khas', 'bebek', 'madura', 'dengan', 'sambal', 'mangga', 'muda']","['warung', 'bebek', 'madura', 'lokasi', 'strategis', 'jembatan', 'suramadu', 'arah', 'pamekasan', 'madura', 'menu', 'makanan', 'bebek', 'ayam', 'makanan', 'khas', 'bebek', 'madura', 'sambal', 'mangga', 'muda']","['warung', 'bebek', 'madura', 'lokasi', 'strategi', 'jembatan', 'suramadu', 'arah', 'pamekasan', 'madura', 'menu', 'makanan', 'bebek', 'ayam', 'makanan', 'kha', 'bebek', 'madura', 'sambal', 'mangga', 'muda']",warung bebek madura lokasi strategi jembatan suramadu arah pamekasan madura menu makanan bebek ayam makanan kha bebek madura sambal mangga muda
198,Ulfa Nafhah,4 tahun lalu,"Tempat lebih nyaman dibandingkan dengan bebek rizky 2,tempat parkir juga lebih luas. Tapi alangkah baiknya kalau disediakan daftar menu yg bisa dipilih biar kita bisa tahu apa saja menu yg ditawarkan selain bebek dan ayam gorengnya.",positif,Tempat lebih nyaman dibandingkan dengan bebek rizky tempat parkir juga lebih luas Tapi alangkah baiknya kalau disediakan daftar menu yg bisa dipilih biar kita bisa tahu apa saja menu yg ditawarkan selain bebek dan ayam gorengnya ,tempat lebih nyaman dibandingkan dengan bebek rizky tempat parkir juga lebih luas tapi alangkah baiknya kalau disediakan daftar menu yg bisa dipilih biar kita bisa tahu apa saja menu yg ditawarkan selain bebek dan ayam gorengnya ,tempat lebih nyaman dibandingkan dengan bebek rizky tempat parkir juga lebih luas tapi alangkah baiknya kalau disediakan daftar menu yg bisa dipilih biar kita bisa tahu apa saja menu yg ditawarkan selain bebek dan ayam gorengnya,"['tempat', 'lebih', 'nyaman', 'dibandingkan', 'dengan', 'bebek', 'rizky', 'tempat', 'parkir', 'juga', 'lebih', 'luas', 'tapi', 'alangkah', 'baiknya', 'kalau', 'disediakan', 'daftar', 'menu', 'yg', 'bisa', 'dipilih', 'biar', 'kita', 'bisa', 'tahu', 'apa', 'saja', 'menu', 'yg', 'ditawarkan', 'selain', 'bebek', 'dan', 'ayam', 'gorengnya']","['nyaman', 'dibandingkan', 'bebek', 'rizky', 'parkir', 'luas', 'alangkah', 'baiknya', 'disediakan', 'daftar', 'menu', 'dipilih', 'biar', 'menu', 'ditawarkan', 'bebek', 'ayam', 'gorengnya']","['nyaman', 'dibandingkan', 'bebek', 'rizki', 'parkir', 'lua', 'alangkah', 'baiknya', 'disediakan', 'daftar', 'menu', 'dipilih', 'biar', 'menu', 'ditawarkan', 'bebek', 'ayam', 'gorengnya']",nyaman dibandingkan bebek rizki parkir lua alangkah baiknya disediakan daftar menu dipilih biar menu ditawarkan bebek ayam gorengnya
199,Jajak Sekitar,3 tahun lalu,"Masakannya enak. Tapi bagi yang nggak suka makan di keramaian, tentu akan mikir2 lagi untuk ngerumpi sambil ngopi di sini. Yah, namanya rumah makan, klo mau ngerumpi atau diskusi, ya di kafe aja, bro.. wkwkwkwk...",positif,Masakannya enak Tapi bagi yang nggak suka makan di keramaian tentu akan mikir lagi untuk ngerumpi sambil ngopi di sini Yah namanya rumah makan klo mau ngerumpi atau diskusi ya di kafe aja bro wkwkwkwk ,masakannya enak tapi bagi yang nggak suka makan di keramaian tentu akan mikir lagi untuk ngerumpi sambil ngopi di sini yah namanya rumah makan klo mau ngerumpi atau diskusi ya di kafe aja bro wkwkwkwk ,masakannya enak tapi bagi yang nggak suka makan di keramaian tentu akan mikir lagi untuk ngerumpi sambil ngopi di sini yah namanya rumah makan klo mau ngerumpi atau diskusi ya di kafe aja bro wkwkwkwk,"['masakannya', 'enak', 'tapi', 'bagi', 'yang', 'nggak', 'suka', 'makan', 'di', 'keramaian', 'tentu', 'akan', 'mikir', 'lagi', 'untuk', 'ngerumpi', 'sambil', 'ngopi', 'di', 'sini', 'yah', 'namanya', 'rumah', 'makan', 'klo', 'mau', 'ngerumpi', 'atau', 'diskusi', 'ya', 'di', 'kafe', 'aja', 'bro', 'wkwkwkwk']","['masakannya', 'enak', 'suka', 'makan', 'keramaian', 'mikir', 'ngerumpi', 'ngopi', 'yah', 'namanya', 'rumah', 'makan', 'klo', 'ngerumpi', 'diskusi', 'kafe', 'aja', 'bro', 'wkwkwkwk']","['masakannya', 'enak', 'suka', 'makan', 'keramaian', 'mikir', 'ngerumpi', 'ngopi', 'yah', 'namanya', 'rumah', 'makan', 'klo', 'ngerumpi', 'diskusi', 'kafe', 'aja', 'bro', 'wkwkwkwk']",masakannya enak suka makan keramaian mikir ngerumpi ngopi yah namanya rumah makan klo ngerumpi diskusi kafe aja bro wkwkwkwk
200,dika raha,9 bulan lalu,"Sambalnya enak, pelayanan cepat, tempatnya bersih.",positif,Sambalnya enak pelayanan cepat tempatnya bersih ,sambalnya enak pelayanan cepat tempatnya bersih ,sambalnya enak pelayanan cepat tempatnya bersih,"['sambalnya', 'enak', 'pelayanan', 'cepat', 'tempatnya', 'bersih']","['sambalnya', 'enak', 'pelayanan', 'cepat', 'tempatnya', 'bersih']","['sambalnya', 'enak', 'pelayanan', 'cepat', 'tempatnya', 'bersih']",sambalnya enak pelayanan cepat tempatnya bersih
201,defri aji,setahun lalu,Bebek enak. Semisal nasi nya agak punel tambah nikmat. Klo bisa sediakan opsi menu sambal trasi atau sambal tomat,positif,Bebek enak Semisal nasi nya agak punel tambah nikmat Klo bisa sediakan opsi menu sambal trasi atau sambal tomat,bebek enak semisal nasi nya agak punel tambah nikmat klo bisa sediakan opsi menu sambal trasi atau sambal tomat,bebek enak semisal nasi nya agak punel tambah nikmat klo bisa sediakan opsi menu sambal trasi atau sambal tomat,"['bebek', 'enak', 'semisal', 'nasi', 'nya', 'agak', 'punel', 'tambah', 'nikmat', 'klo', 'bisa', 'sediakan', 'opsi', 'menu', 'sambal', 'trasi', 'atau', 'sambal', 'tomat']","['bebek', 'enak', 'nasi', 'nya', 'punel', 'nikmat', 'klo', 'sediakan', 'opsi', 'menu', 'sambal', 'trasi', 'sambal', 'tomat']","['bebek', 'enak', 'nasi', 'nya', 'punel', 'nikmat', 'klo', 'sediakan', 'opsi', 'menu', 'sambal', 'trasi', 'sambal', 'tomat']",bebek enak nasi nya punel nikmat klo sediakan opsi menu sambal trasi sambal tomat
202,krisna adityawan,2 tahun lalu,Suka bebek bumbu basah nya. Bumbu hitam enak sambal agak manis. Minus nya kebersihan kurang mungkin karena banyak pengunjungnya,netral,Suka bebek bumbu basah nya Bumbu hitam enak sambal agak manis Minus nya kebersihan kurang mungkin karena banyak pengunjungnya,suka bebek bumbu basah nya bumbu hitam enak sambal agak manis minus nya kebersihan kurang mungkin karena banyak pengunjungnya,suka bebek bumbu basah nya bumbu hitam enak sambal agak manis minus nya kebersihan kurang mungkin karena banyak pengunjungnya,"['suka', 'bebek', 'bumbu', 'basah', 'nya', 'bumbu', 'hitam', 'enak', 'sambal', 'agak', 'manis', 'minus', 'nya', 'kebersihan', 'kurang', 'mungkin', 'karena', 'banyak', 'pengunjungnya']","['suka', 'bebek', 'bumbu', 'basah', 'nya', 'bumbu', 'hitam', 'enak', 'sambal', 'manis', 'minus', 'nya', 'kebersihan', 'pengunjungnya']","['suka', 'bebek', 'bumbu', 'basah', 'nya', 'bumbu', 'hitam', 'enak', 'sambal', 'mani', 'minu', 'nya', 'kebersihan', 'pengunjungnya']",suka bebek bumbu basah nya bumbu hitam enak sambal mani minu nya kebersihan pengunjungnya
203,Mudhfar Maruf,setahun lalu,Enak tp sayang bebeknya kecil jdnya porsinya kurang pas dg nasinya,netral,Enak tp sayang bebeknya kecil jdnya porsinya kurang pas dg nasinya,enak tp sayang bebeknya kecil jdnya porsinya kurang pas dg nasinya,enak tp sayang bebeknya kecil jdnya porsinya kurang pas dg nasinya,"['enak', 'tp', 'sayang', 'bebeknya', 'kecil', 'jdnya', 'porsinya', 'kurang', 'pas', 'dg', 'nasinya']","['enak', 'tp', 'sayang', 'bebeknya', 'jdnya', 'porsinya', 'pas', 'dg', 'nasinya']","['enak', 'tp', 'sayang', 'bebeknya', 'jdnya', 'porsinya', 'pa', 'dg', 'nasinya']",enak tp sayang bebeknya jdnya porsinya pa dg nasinya
204,Welly Yuarnik,4 tahun lalu,"Tempt nya bagus,bersih,murah,klo Soal rasa Lumayan..",positif,Tempt nya bagus bersih murah klo Soal rasa Lumayan ,tempt nya bagus bersih murah klo soal rasa lumayan ,tempt nya bagus bersih murah klo soal rasa lumayan,"['tempt', 'nya', 'bagus', 'bersih', 'murah', 'klo', 'soal', 'rasa', 'lumayan']","['tempt', 'nya', 'bagus', 'bersih', 'murah', 'klo', 'lumayan']","['tempt', 'nya', 'bagu', 'bersih', 'murah', 'klo', 'lumayan']",tempt nya bagu bersih murah klo lumayan
205,Yunita Fitriharianti,setahun lalu,"Enak bebeknya, murah harganya dan penyajiannya cepat.... Sangat rekomended, tempatnya juga lumayan bersih",positif,Enak bebeknya murah harganya dan penyajiannya cepat Sangat rekomended tempatnya juga lumayan bersih,enak bebeknya murah harganya dan penyajiannya cepat sangat rekomended tempatnya juga lumayan bersih,enak bebeknya murah harganya dan penyajiannya cepat sangat rekomended tempatnya juga lumayan bersih,"['enak', 'bebeknya', 'murah', 'harganya', 'dan', 'penyajiannya', 'cepat', 'sangat', 'rekomended', 'tempatnya', 'juga', 'lumayan', 'bersih']","['enak', 'bebeknya', 'murah', 'harganya', 'penyajiannya', 'cepat', 'rekomended', 'tempatnya', 'lumayan', 'bersih']","['enak', 'bebeknya', 'murah', 'harganya', 'penyajiannya', 'cepat', 'rekomend', 'tempatnya', 'lumayan', 'bersih']",enak bebeknya murah harganya penyajiannya cepat rekomend tempatnya lumayan bersih
206,puspita nirmala,4 tahun lalu,"Pelayanan payah..lama banget...pelanggan yg dtg 15 menit sesudah saya,malah dilayani dan selesai duluan..makanan saya baru dtg setelah mereka selesai dan itu pun setelah saya komplain..klo g komplain mungkin malah g ada makanan keluar sampe warung tutup",negatif,Pelayanan payah lama banget pelanggan yg dtg menit sesudah saya malah dilayani dan selesai duluan makanan saya baru dtg setelah mereka selesai dan itu pun setelah saya komplain klo komplain mungkin malah ada makanan keluar sampe warung tutup,pelayanan payah lama banget pelanggan yg dtg menit sesudah saya malah dilayani dan selesai duluan makanan saya baru dtg setelah mereka selesai dan itu pun setelah saya komplain klo komplain mungkin malah ada makanan keluar sampe warung tutup,pelayanan payah lama banget pelanggan yg dtg menit sesudah saya malah dilayani dan selesai duluan makanan saya baru dtg setelah mereka selesai dan itu pun setelah saya komplain klo komplain mungkin malah ada makanan keluar sampe warung tutup,"['pelayanan', 'payah', 'lama', 'banget', 'pelanggan', 'yg', 'dtg', 'menit', 'sesudah', 'saya', 'malah', 'dilayani', 'dan', 'selesai', 'duluan', 'makanan', 'saya', 'baru', 'dtg', 'setelah', 'mereka', 'selesai', 'dan', 'itu', 'pun', 'setelah', 'saya', 'komplain', 'klo', 'komplain', 'mungkin', 'malah', 'ada', 'makanan', 'keluar', 'sampe', 'warung', 'tutup']","['pelayanan', 'payah', 'banget', 'pelanggan', 'dtg', 'menit', 'dilayani', 'selesai', 'duluan', 'makanan', 'dtg', 'selesai', 'komplain', 'klo', 'komplain', 'makanan', 'sampe', 'warung', 'tutup']","['pelayanan', 'payah', 'banget', 'pelanggan', 'dtg', 'menit', 'dilayani', 'selesai', 'duluan', 'makanan', 'dtg', 'selesai', 'komplain', 'klo', 'komplain', 'makanan', 'samp', 'warung', 'tutup']",pelayanan payah banget pelanggan dtg menit dilayani selesai duluan makanan dtg selesai komplain klo komplain makanan samp warung tutup
207,Abdur Rahman,8 bulan lalu,Pinggir jalan. Dan mantap,netral,Pinggir jalan Dan mantap,pinggir jalan dan mantap,pinggir jalan dan mantap,"['pinggir', 'jalan', 'dan', 'mantap']","['pinggir', 'jalan', 'mantap']","['pinggir', 'jalan', 'mantap']",pinggir jalan mantap
208,Thouan Mubarok,8 bulan lalu,"Kurang enak,  ga cocok harga 24k",negatif,Kurang enak ga cocok harga ,kurang enak ga cocok harga ,kurang enak ga cocok harga,"['kurang', 'enak', 'ga', 'cocok', 'harga']","['enak', 'ga', 'cocok', 'harga']","['enak', 'ga', 'cocok', 'harga']",enak ga cocok harga
209,Joni Humaidi,2 tahun lalu,"Penyajiannya lama, nasi kurang mateng.",negatif,Penyajiannya lama nasi kurang mateng ,penyajiannya lama nasi kurang mateng ,penyajiannya lama nasi kurang mateng,"['penyajiannya', 'lama', 'nasi', 'kurang', 'mateng']","['penyajiannya', 'nasi', 'mateng']","['penyajiannya', 'nasi', 'mateng']",penyajiannya nasi mateng
210,Sikecil Battery Bersama,2 tahun lalu,Agak lama. Karena blom digoreng klo blom mesen...seharusnya setengah Mateng gitu.. jadi kalo ada yg mesen gapake nunggu lama lagi tinggal goreng keringnya..,negatif,Agak lama Karena blom digoreng klo blom mesen seharusnya setengah Mateng gitu jadi kalo ada yg mesen gapake nunggu lama lagi tinggal goreng keringnya ,agak lama karena blom digoreng klo blom mesen seharusnya setengah mateng gitu jadi kalo ada yg mesen gapake nunggu lama lagi tinggal goreng keringnya ,agak lama karena blom digoreng klo blom mesen seharusnya setengah mateng gitu jadi kalo ada yg mesen gapake nunggu lama lagi tinggal goreng keringnya,"['agak', 'lama', 'karena', 'blom', 'digoreng', 'klo', 'blom', 'mesen', 'seharusnya', 'setengah', 'mateng', 'gitu', 'jadi', 'kalo', 'ada', 'yg', 'mesen', 'gapake', 'nunggu', 'lama', 'lagi', 'tinggal', 'goreng', 'keringnya']","['blom', 'digoreng', 'klo', 'blom', 'mesen', 'mateng', 'kalo', 'mesen', 'gapake', 'nunggu', 'goreng', 'keringnya']","['blom', 'digoreng', 'klo', 'blom', 'mesen', 'mateng', 'kalo', 'mesen', 'gapak', 'nunggu', 'goreng', 'keringnya']",blom digoreng klo blom mesen mateng kalo mesen gapak nunggu goreng keringnya
211,M Lutffi,3 tahun lalu,Tempat transit plg representatif selama perjalanan maudra-surabaya,netral,Tempat transit plg representatif selama perjalanan maudra surabaya,tempat transit plg representatif selama perjalanan maudra surabaya,tempat transit plg representatif selama perjalanan maudra surabaya,"['tempat', 'transit', 'plg', 'representatif', 'selama', 'perjalanan', 'maudra', 'surabaya']","['transit', 'plg', 'representatif', 'perjalanan', 'maudra', 'surabaya']","['transit', 'plg', 'representatif', 'perjalanan', 'maudra', 'surabaya']",transit plg representatif perjalanan maudra surabaya
212,Ricky wicaksono,2 tahun lalu,"harga lumayan, rasa bisa bersaing, pelayanan biasa saja sebagai mana mestinya, parkirannya lumayan luas",netral,harga lumayan rasa bisa bersaing pelayanan biasa saja sebagai mana mestinya parkirannya lumayan luas,harga lumayan rasa bisa bersaing pelayanan biasa saja sebagai mana mestinya parkirannya lumayan luas,harga lumayan rasa bisa bersaing pelayanan biasa saja sebagai mana mestinya parkirannya lumayan luas,"['harga', 'lumayan', 'rasa', 'bisa', 'bersaing', 'pelayanan', 'biasa', 'saja', 'sebagai', 'mana', 'mestinya', 'parkirannya', 'lumayan', 'luas']","['harga', 'lumayan', 'bersaing', 'pelayanan', 'mestinya', 'parkirannya', 'lumayan', 'luas']","['harga', 'lumayan', 'bersa', 'pelayanan', 'mestinya', 'parkirannya', 'lumayan', 'lua']",harga lumayan bersa pelayanan mestinya parkirannya lumayan lua
213,DWI BULDOGX,3 tahun lalu,"Tempat semakin baik, tertata d bersih ...menu makanan semakin lengkap ...ada sarana ibadah, mck d parkir luas...semoga tambah sukses slalu",positif,Tempat semakin baik tertata bersih menu makanan semakin lengkap ada sarana ibadah mck parkir luas semoga tambah sukses slalu,tempat semakin baik tertata bersih menu makanan semakin lengkap ada sarana ibadah mck parkir luas semoga tambah sukses slalu,tempat semakin baik tertata bersih menu makanan semakin lengkap ada sarana ibadah mck parkir luas semoga tambah sukses slalu,"['tempat', 'semakin', 'baik', 'tertata', 'bersih', 'menu', 'makanan', 'semakin', 'lengkap', 'ada', 'sarana', 'ibadah', 'mck', 'parkir', 'luas', 'semoga', 'tambah', 'sukses', 'slalu']","['tertata', 'bersih', 'menu', 'makanan', 'lengkap', 'sarana', 'ibadah', 'mck', 'parkir', 'luas', 'semoga', 'sukses', 'slalu']","['tertata', 'bersih', 'menu', 'makanan', 'lengkap', 'sarana', 'ibadah', 'mck', 'parkir', 'lua', 'semoga', 'suks', 'slalu']",tertata bersih menu makanan lengkap sarana ibadah mck parkir lua semoga suks slalu
214,Kasidi SDN TLAMBAH 1 KRP,setahun lalu,"Tempat bersih, toilet bersih, makanan menu bebeknya empuk, daging banyak, rasa pas diselera",positif,Tempat bersih toilet bersih makanan menu bebeknya empuk daging banyak rasa pas diselera,tempat bersih toilet bersih makanan menu bebeknya empuk daging banyak rasa pas diselera,tempat bersih toilet bersih makanan menu bebeknya empuk daging banyak rasa pas diselera,"['tempat', 'bersih', 'toilet', 'bersih', 'makanan', 'menu', 'bebeknya', 'empuk', 'daging', 'banyak', 'rasa', 'pas', 'diselera']","['bersih', 'toilet', 'bersih', 'makanan', 'menu', 'bebeknya', 'empuk', 'daging', 'pas', 'diselera']","['bersih', 'toilet', 'bersih', 'makanan', 'menu', 'bebeknya', 'empuk', 'dage', 'pa', 'diselera']",bersih toilet bersih makanan menu bebeknya empuk dage pa diselera
215,Ns Blackhair,4 tahun lalu,"Untuk makanan bumbunya kurang terasa, kalau fasilitas lumayan lah GK sempit tempatnya. Recomnd kalau pengen bebek yg enak di sinjay tpi fasilitas sempit""an",netral,Untuk makanan bumbunya kurang terasa kalau fasilitas lumayan lah GK sempit tempatnya Recomnd kalau pengen bebek yg enak di sinjay tpi fasilitas sempit an,untuk makanan bumbunya kurang terasa kalau fasilitas lumayan lah gk sempit tempatnya recomnd kalau pengen bebek yg enak di sinjay tpi fasilitas sempit an,untuk makanan bumbunya kurang terasa kalau fasilitas lumayan lah gk sempit tempatnya recomnd kalau pengen bebek yg enak di sinjay tpi fasilitas sempit an,"['untuk', 'makanan', 'bumbunya', 'kurang', 'terasa', 'kalau', 'fasilitas', 'lumayan', 'lah', 'gk', 'sempit', 'tempatnya', 'recomnd', 'kalau', 'pengen', 'bebek', 'yg', 'enak', 'di', 'sinjay', 'tpi', 'fasilitas', 'sempit', 'an']","['makanan', 'bumbunya', 'fasilitas', 'lumayan', 'gk', 'sempit', 'tempatnya', 'recomnd', 'pengen', 'bebek', 'enak', 'sinjay', 'tpi', 'fasilitas', 'sempit', 'an']","['makanan', 'bumbunya', 'fasilita', 'lumayan', 'gk', 'sempit', 'tempatnya', 'recomnd', 'pengen', 'bebek', 'enak', 'sinjay', 'tpi', 'fasilita', 'sempit', 'an']",makanan bumbunya fasilita lumayan gk sempit tempatnya recomnd pengen bebek enak sinjay tpi fasilita sempit an
216,ridho rizki kurniawan,7 bulan lalu,Alternatif pilihan kalau sinjay antrian g ngotak,netral,Alternatif pilihan kalau sinjay antrian ngotak,alternatif pilihan kalau sinjay antrian ngotak,alternatif pilihan kalau sinjay antrian ngotak,"['alternatif', 'pilihan', 'kalau', 'sinjay', 'antrian', 'ngotak']","['alternatif', 'pilihan', 'sinjay', 'antrian', 'ngotak']","['alternatif', 'pilihan', 'sinjay', 'antrian', 'ngotak']",alternatif pilihan sinjay antrian ngotak
217,dian yunistia,setahun lalu,Wooow mantap bersih dan enak,positif,Woow mantap bersih dan enak,woow mantap bersih dan enak,woow mantap bersih dan enak,"['woow', 'mantap', 'bersih', 'dan', 'enak']","['woow', 'mantap', 'bersih', 'enak']","['woow', 'mantap', 'bersih', 'enak']",woow mantap bersih enak
218,MoNaz,4 tahun lalu,"Tempatnya nyaman dan strategis, ada toilet, km dan Musholla.
Bebeknya lumayan enak kalo menu yg lain lom tau.",positif,Tempatnya nyaman dan strategis ada toilet km dan Musholla Bebeknya lumayan enak kalo menu yg lain lom tau ,tempatnya nyaman dan strategis ada toilet km dan musholla bebeknya lumayan enak kalo menu yg lain lom tau ,tempatnya nyaman dan strategis ada toilet km dan musholla bebeknya lumayan enak kalo menu yg lain lom tau,"['tempatnya', 'nyaman', 'dan', 'strategis', 'ada', 'toilet', 'km', 'dan', 'musholla', 'bebeknya', 'lumayan', 'enak', 'kalo', 'menu', 'yg', 'lain', 'lom', 'tau']","['tempatnya', 'nyaman', 'strategis', 'toilet', 'km', 'musholla', 'bebeknya', 'lumayan', 'enak', 'kalo', 'menu', 'lom', 'tau']","['tempatnya', 'nyaman', 'strategi', 'toilet', 'km', 'musholla', 'bebeknya', 'lumayan', 'enak', 'kalo', 'menu', 'lom', 'tau']",tempatnya nyaman strategi toilet km musholla bebeknya lumayan enak kalo menu lom tau
219,Syl Syl,4 tahun lalu,"Cocok buat tempat istirahat sambil mengisi perut setelah perjalanan lama. Ada kamar mandi dan mushola yg bersih, parkir juga luas. Cocok deh....",positif,Cocok buat tempat istirahat sambil mengisi perut setelah perjalanan lama Ada kamar mandi dan mushola yg bersih parkir juga luas Cocok deh ,cocok buat tempat istirahat sambil mengisi perut setelah perjalanan lama ada kamar mandi dan mushola yg bersih parkir juga luas cocok deh ,cocok buat tempat istirahat sambil mengisi perut setelah perjalanan lama ada kamar mandi dan mushola yg bersih parkir juga luas cocok deh,"['cocok', 'buat', 'tempat', 'istirahat', 'sambil', 'mengisi', 'perut', 'setelah', 'perjalanan', 'lama', 'ada', 'kamar', 'mandi', 'dan', 'mushola', 'yg', 'bersih', 'parkir', 'juga', 'luas', 'cocok', 'deh']","['cocok', 'istirahat', 'mengisi', 'perut', 'perjalanan', 'kamar', 'mandi', 'mushola', 'bersih', 'parkir', 'luas', 'cocok', 'deh']","['cocok', 'istirahat', 'mengisi', 'perut', 'perjalanan', 'kamar', 'mandi', 'mushola', 'bersih', 'parkir', 'lua', 'cocok', 'deh']",cocok istirahat mengisi perut perjalanan kamar mandi mushola bersih parkir lua cocok deh
